# locale(s)	input	(output)
# entities to leave unedited
en-AU	labour party	labor party
# mapping rules, en-US
en-US	accessorise	accessorize
en-US	accessorised	accessorized
en-US	accessorises	accessorizes
en-US	accessorising	accessorizing
en-US	acclimatisation	acclimatization
en-US	acclimatise	acclimatize
en-US	acclimatised	acclimatized
en-US	acclimatises	acclimatizes
en-US	acclimatising	acclimatizing
en-US	accoutrements	accouterments
en-US	aerogramme	aerogram
en-US	aerogrammes	aerograms
en-US	aggrandisement	aggrandizement
en-US	ageing	aging
en-US	agonise	agonize
en-US	agonised	agonized
en-US	agonises	agonizes
en-US	agonising	agonizing
en-US	agonisingly	agonizingly
en-US	aeroplane	airplane
en-US	aeroplanes	airplanes
en-US	almanack	almanac
en-US	almanacks	almanacs
en-US	aluminium	aluminum
en-US	amortisable	amortizable
en-US	amortisation	amortization
en-US	amortisations	amortizations
en-US	amortise	amortize
en-US	amortised	amortized
en-US	amortises	amortizes
en-US	amortising	amortizing
en-US	amphitheatre	amphitheater
en-US	amphitheatres	amphitheaters
en-US	analogue	analog
en-US	analogues	analogs
en-US	analyse	analyze
en-US	analysed	analyzed
en-US	analyses	analyzes
en-US	analysing	analyzing
en-US	anaemia	anemia
en-US	anaemic	anemic
en-US	anaesthesia	anesthesia
en-US	anaesthetic	anesthetic
en-US	anaesthetics	anesthetics
en-US	anaesthetist	anesthetist
en-US	anaesthetists	anesthetists
en-US	anaesthetise	anesthetize
en-US	anaesthetize	anesthetize
en-US	anaesthetised	anesthetized
en-US	anaesthetized	anesthetized
en-US	anaesthetises	anesthetizes
en-US	anaesthetizes	anesthetizes
en-US	anaesthetising	anesthetizing
en-US	anaesthetizing	anesthetizing
en-US	anglicise	anglicize
en-US	anglicised	anglicized
en-US	anglicises	anglicizes
en-US	anglicising	anglicizing
en-US	annualised	annualized
en-US	antagonise	antagonize
en-US	antagonised	antagonized
en-US	antagonises	antagonizes
en-US	antagonising	antagonizing
en-US	apologise	apologize
en-US	apologised	apologized
en-US	apologises	apologizes
en-US	apologising	apologizing
en-US	appal	appall
en-US	appals	appalls
en-US	appetiser	appetizer
en-US	appetisers	appetizers
en-US	appetising	appetizing
en-US	appetisingly	appetizingly
en-US	arbour	arbor
en-US	arbours	arbors
en-US	archaeological	archeological
en-US	archaeologically	archeologically
en-US	archaeologist	archeologist
en-US	archaeologists	archeologists
en-US	archaeology	archeology
en-US	ardour	ardor
en-US	armour	armor
en-US	armoured	armored
en-US	armourer	armorer
en-US	armourers	armorers
en-US	armouries	armories
en-US	armoury	armory
en-US	artefact	artifact
en-US	artefacts	artifacts
en-US	authorise	authorize
en-US	authorised	authorized
en-US	authorises	authorizes
en-US	authorising	authorizing
en-US	axe	ax
en-US	backpedalled	backpedaled
en-US	backpedalling	backpedaling
en-US	baulk	balk
en-US	baulked	balked
en-US	baulking	balking
en-US	baulks	balks
en-US	bannister	banister
en-US	bannisters	banisters
en-US	baptise	baptize
en-US	baptised	baptized
en-US	baptises	baptizes
en-US	baptising	baptizing
en-US	bastardise	bastardize
en-US	bastardised	bastardized
en-US	bastardises	bastardizes
en-US	bastardising	bastardizing
en-US	battleaxe	battleax
en-US	bedevilled	bedeviled
en-US	bedevilling	bedeviling
en-US	behaviour	behavior
en-US	behavioural	behavioral
en-US	behaviourism	behaviorism
en-US	behaviourist	behaviorist
en-US	behaviourists	behaviorists
en-US	behaviours	behaviors
en-US	behove	behoove
en-US	behoved	behooved
en-US	behoves	behooves
en-US	bejewelled	bejeweled
en-US	belabour	belabor
en-US	belaboured	belabored
en-US	belabouring	belaboring
en-US	belabours	belabors
en-US	bevelled	beveled
en-US	bevvies	bevies
en-US	bevvy	bevy
en-US	biassed	biased
en-US	biassing	biasing
en-US	bingeing	binging
en-US	bougainvillaea	bougainvillea
en-US	bougainvillaeas	bougainvilleas
en-US	bowdlerise	bowdlerize
en-US	bowdlerised	bowdlerized
en-US	bowdlerises	bowdlerizes
en-US	bowdlerising	bowdlerizing
en-US	breathalyse	breathalyze
en-US	breathalysed	breathalyzed
en-US	breathalyser	breathalyzer
en-US	breathalysers	breathalyzers
en-US	breathalyses	breathalyzes
en-US	breathalysing	breathalyzing
en-US	brutalise	brutalize
en-US	brutalised	brutalized
en-US	brutalises	brutalizes
en-US	brutalising	brutalizing
en-US	buses	busses
en-US	busing	bussing
en-US	calibre	caliber
en-US	calibres	calibers
en-US	calliper	caliper
en-US	callipers	calipers
en-US	callisthenics	calisthenics
en-US	canalise	canalize
en-US	canalised	canalized
en-US	canalises	canalizes
en-US	canalising	canalizing
en-US	cancellation	cancelation
en-US	cancellations	cancelations
en-US	cancelled	canceled
en-US	cancelling	canceling
en-US	candour	candor
en-US	cannibalise	cannibalize
en-US	cannibalised	cannibalized
en-US	cannibalises	cannibalizes
en-US	cannibalising	cannibalizing
en-US	canonise	canonize
en-US	canonised	canonized
en-US	canonises	canonizes
en-US	canonising	canonizing
en-US	capitalise	capitalize
en-US	capitalised	capitalized
en-US	capitalises	capitalizes
en-US	capitalising	capitalizing
en-US	caramelise	caramelize
en-US	caramelised	caramelized
en-US	caramelises	caramelizes
en-US	caramelising	caramelizing
en-US	carbonise	carbonize
en-US	carbonised	carbonized
en-US	carbonises	carbonizes
en-US	carbonising	carbonizing
en-US	carolled	caroled
en-US	carolling	caroling
en-US	catalogue	catalog
en-US	catalogued	cataloged
en-US	cataloguing	cataloging
en-US	catalogues	catalogs
en-US	catalyse	catalyze
en-US	catalysed	catalyzed
en-US	catalyses	catalyzes
en-US	catalysing	catalyzing
en-US	categorise	categorize
en-US	categorised	categorized
en-US	categorises	categorizes
en-US	categorising	categorizing
en-US	cauterise	cauterize
en-US	cauterised	cauterized
en-US	cauterises	cauterizes
en-US	cauterising	cauterizing
en-US	cavilled	caviled
en-US	cavilling	caviling
en-US	centre	center
en-US	centred	centered
en-US	centrefold	centerfold
en-US	centrefolds	centerfolds
en-US	centrepiece	centerpiece
en-US	centrepieces	centerpieces
en-US	centres	centers
en-US	centigramme	centigram
en-US	centigrammes	centigrams
en-US	centilitre	centiliter
en-US	centilitres	centiliters
en-US	centimetre	centimeter
en-US	centimetres	centimeters
en-US	centralise	centralize
en-US	centralised	centralized
en-US	centralises	centralizes
en-US	centralising	centralizing
en-US	caesarean	cesarean
en-US	caesareans	cesareans
en-US	channelled	channeled
en-US	channelling	channeling
en-US	characterise	characterize
en-US	characterised	characterized
en-US	characterises	characterizes
en-US	characterising	characterizing
en-US	cheque	check
en-US	chequebook	checkbook
en-US	chequebooks	checkbooks
en-US	chequered	checkered
en-US	cheques	checks
en-US	chilli	chili
en-US	chimaera	chimera
en-US	chimaeras	chimeras
en-US	chiselled	chiseled
en-US	chiselling	chiseling
en-US	cypher	cipher
en-US	cyphers	ciphers
en-US	circularise	circularize
en-US	circularised	circularized
en-US	circularises	circularizes
en-US	circularising	circularizing
en-US	civilise	civilize
en-US	civilised	civilized
en-US	civilises	civilizes
en-US	civilising	civilizing
en-US	clamour	clamor
en-US	clamoured	clamored
en-US	clamouring	clamoring
en-US	clamours	clamors
en-US	clangour	clangor
en-US	clarinettist	clarinetist
en-US	clarinettists	clarinetists
en-US	collectivise	collectivize
en-US	collectivised	collectivized
en-US	collectivises	collectivizes
en-US	collectivising	collectivizing
en-US	colonisation	colonization
en-US	colonise	colonize
en-US	colonised	colonized
en-US	coloniser	colonizer
en-US	colonisers	colonizers
en-US	colonises	colonizes
en-US	colonising	colonizing
en-US	colour	color
en-US	colourant	colorant
en-US	colourants	colorants
en-US	coloured	colored
en-US	coloureds	coloreds
en-US	colourful	colorful
en-US	colourfully	colorfully
en-US	colouring	coloring
en-US	colourize	colorize
en-US	colourized	colorized
en-US	colourizes	colorizes
en-US	colourizing	colorizing
en-US	colourless	colorless
en-US	colours	colors
en-US	commercialise	commercialize
en-US	commercialised	commercialized
en-US	commercialises	commercializes
en-US	commercialising	commercializing
en-US	compartmentalise	compartmentalize
en-US	compartmentalised	compartmentalized
en-US	compartmentalises	compartmentalizes
en-US	compartmentalising	compartmentalizing
en-US	computerise	computerize
en-US	computerised	computerized
en-US	computerises	computerizes
en-US	computerising	computerizing
en-US	conceptualise	conceptualize
en-US	conceptualised	conceptualized
en-US	conceptualises	conceptualizes
en-US	conceptualising	conceptualizing
en-US	connexion	connection
en-US	connexions	connections
en-US	contextualise	contextualize
en-US	contextualised	contextualized
en-US	contextualises	contextualizes
en-US	contextualising	contextualizing
en-US	councillor	councilor
en-US	councillors	councilors
en-US	counselled	counseled
en-US	counselling	counseling
en-US	counsellor	counselor
en-US	counsellors	counselors
en-US	cosier	cozier
en-US	cosies	cozies
en-US	cosiest	coziest
en-US	cosily	cozily
en-US	cosiness	coziness
en-US	cosy	cozy
en-US	crenellated	crenelated
en-US	criminalise	criminalize
en-US	criminalised	criminalized
en-US	criminalises	criminalizes
en-US	criminalising	criminalizing
en-US	criticise	criticize
en-US	criticised	criticized
en-US	criticises	criticizes
en-US	criticising	criticizing
en-US	crueller	crueler
en-US	cruellest	cruelest
en-US	crystallisation	crystallization
en-US	crystallise	crystallize
en-US	crystallised	crystallized
en-US	crystallises	crystallizes
en-US	crystallising	crystallizing
en-US	cudgelled	cudgeled
en-US	cudgelling	cudgeling
en-US	customise	customize
en-US	customised	customized
en-US	customises	customizes
en-US	customising	customizing
en-US	decentralisation	decentralization
